name,directed_by,genre,type,id,initial_release_date
0.45,Gary Lennon,Black comedy|Thriller|Psychological thriller|Indie film|Action Film|Crime Thriller|Crime Fiction|Drama,,/en/45_2006,11/30/2006
9,Shane Acker,Computer Animation|Animation|Apocalyptic and post-apocalyptic fiction|Science Fiction|Short Film|Thriller|Fantasy,,/en/9_2005,4/21/2005
69,Lee Sang-il,Japanese Movies|Drama,,/en/69_2004,7/10/2004
300,Zack Snyder,Epic film|Adventure Film|Fantasy|Action Film|Historical fiction|War film|Superhero movie|Historical Epic,,/en/300_2007,12/9/2006
2046,Wong Kar-wai,Romance Film|Fantasy|Science Fiction|Drama,,/en/2046_2004,5/20/2004
¿Quién es el señor López?,Luis Mandoki,Documentary film,,/en/quien_es_el_senor_lopez,
"""Weird Al"" Yankovic: The Ultimate Video Collection","Jay Levey|""Weird Al"" Yankovic",Music video|Parody,,/en/weird_al_yankovic_the_ultimate_video_collection,11/4/2003
15 Park Avenue,Aparna Sen,Art film|Romance Film|Musical|Drama|Musical Drama,,/en/15_park_avenue,10/27/2005
2 Fast 2 Furious,John Singleton,Thriller|Action Film|Crime Fiction,,/en/2_fast_2_furious,6/3/2003
7G Rainbow Colony,Selvaraghavan,Drama,,/en/7g_rainbow_colony,10/15/2004
3-Iron,Kim Ki-duk,Crime Fiction|Romance Film|East Asian cinema|World cinema|Drama,,/en/3-iron,9/7/2004
10.5: Apocalypse,John Lafia,Disaster Film|Thriller|Television film|Action/Adventure|Action Film,,/en/10_5_apocalypse,3/18/2006
8 Mile,Curtis Hanson,Musical|Hip hop film|Drama|Musical Drama,,/en/8_mile,9/8/2002
100 Girls,Michael Davis,Romantic comedy|Romance Film|Indie film|Teen film|Comedy,,/en/100_girls,9/25/2001
40 Days and 40 Nights,Michael Lehmann,Romance Film|Romantic comedy|Sex comedy|Comedy|Drama,,/en/40_days_and_40_nights,3/1/2002
50 Cent: The New Breed,Don Robinson|Damon Johnson|Philip Atwell|Ian Inaba|Stephen Marshall|John Quigley|Jessy Terrero|Noa Shaw,Documentary film|Music|Concert film|Biographical film,,/en/50_cent_the_new_breed,4/15/2003
3: The Dale Earnhardt Story,Russell Mulcahy,Sports|Auto racing|Biographical film|Drama,,/en/3_the_dale_earnhardt_story,12/11/2004
61*,Billy Crystal,Sports|History|Historical period drama|Television film|Drama,,/en/61__2001,4/28/2001
24 Hour Party People,Michael Winterbottom,Biographical film|Comedy-drama|Comedy|Music|Drama,,/en/24_hour_party_people,2/13/2002
10th &amp; Wolf,Robert Moresco,Mystery|Thriller|Crime Fiction|Crime Thriller|Gangster Film|Drama,,/en/10th_wolf,8/18/2006
25th Hour,Spike Lee,Crime Fiction|Drama,,/en/25th_hour,12/16/2002
